Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:49:42.997631708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.998020583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.998506792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.998894750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.999380958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.999769042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.000255208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.000643250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.001130667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.001517542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.002003750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.002391792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.003751583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.004140083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.005499333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.005888583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.007247333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.007637000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.008123417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.008511333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.009869833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.010259750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.010746250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.011133875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.011620792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.012008208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.013366750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.013756500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.015115083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.015504917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.016863208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.017253333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.017739875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.018127542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.018613708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.019001708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.020360750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.020750583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.021236667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.021624667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.022110917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.022498708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.101969458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.105391167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.107187292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.107576250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.108062667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.108450625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.108937708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.109324625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.110684875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.111073208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.112431917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.112821625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.113307667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.113695750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.115055208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.115444208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.115930292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.116318250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.116805125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.117192667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.117679292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.118066833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.119425333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.119815167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.120300958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.120689458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.121176792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.121563792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.122922083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.123312083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.123798917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.124186458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.125546208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.125934750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.126420667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.126808875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.128168083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.128557375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.129044083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.129431625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.129918250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.130305875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.131665083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.132054250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.132539875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.132928458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.133415208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.133802750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.134289583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.134676917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.135163083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.135551250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.136038333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.136425417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.137784625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.138173875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.139533750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.139922375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.141281667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.141670750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.142157583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.142545000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.143903958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.144293417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.144779542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.145167708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.145653625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.146041833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.147401000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:43.147790292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:43.149149458+00:00,0,1,1,1,1,1,1,1
